v2-TAQ comparison (AAPL, seed 31, 10000 test eps)
Agent            |     Mean |      Std |   CVaR90 |   CVaR95 |      Max | cap-frac
----------------------------------------------------------------------------------
TWAP             |   0.4345 |  23.4930 |  43.0234 |  54.5921 | 238.9756 |    0.000
AC               |   0.4345 |  23.4924 |  43.0224 |  54.5910 | 238.9726 |    0.000
MaxSpeed         |   1.5591 |  10.0375 |  19.9562 |  25.6814 | 209.4404 |    1.000
DQN              |   0.7623 |  15.7297 |  29.2155 |  37.7919 | 269.7713 |    0.004
DDQN             |   1.4482 |  10.2007 |  20.1114 |  25.8619 | 143.0133 |    0.623
IQN-neutral      |   1.4526 |  10.0529 |  19.3916 |  25.1975 | 174.8688 |    0.935
IQN-CVaR_0.30    |   1.3810 |  10.2391 |  19.6860 |  26.4312 | 178.4631 |    0.876
IQN-CVaR_0.50    |   1.4148 |  10.0999 |  19.3663 |  25.4093 | 178.4631 |    0.919
IQN-CVaR_0.70    |   1.4464 |  10.0350 |  19.3780 |  25.2098 | 178.4631 |    0.938
IQN-CVaR_0.90    |   1.4542 |  10.0493 |  19.4056 |  25.2187 | 178.4631 |    0.941
IQN-CVaR_0.95    |   1.4540 |  10.0261 |  19.4076 |  25.1830 | 174.8688 |    0.939
