v2-TAQ comparison (MSFT, seed 7, 10000 test eps)
Agent            |     Mean |      Std |   CVaR90 |   CVaR95 |      Max | cap-frac
----------------------------------------------------------------------------------
TWAP             |  -0.0583 |  21.1755 |  37.9270 |  47.1893 | 191.1838 |    0.000
AC               |  -0.0583 |  21.1750 |  37.9262 |  47.1883 | 191.1810 |    0.000
MaxSpeed         |   2.9229 |   8.9171 |  18.9429 |  23.4163 |  99.3902 |    1.000
DQN              |   2.5868 |   8.9386 |  19.0980 |  23.4478 |  99.1637 |    0.353
DDQN             |   2.5556 |   9.0148 |  18.0349 |  22.4167 | 139.5288 |    0.630
IQN-neutral      |   2.7740 |   9.1998 |  19.0352 |  24.8727 | 145.2548 |    0.825
IQN-CVaR_0.30    |   2.8770 |   9.0919 |  18.6786 |  23.2513 | 150.5705 |    0.914
IQN-CVaR_0.50    |   2.8373 |   9.1123 |  18.5680 |  23.4349 | 149.9707 |    0.887
IQN-CVaR_0.70    |   2.8060 |   9.2594 |  18.9599 |  24.6535 | 151.7377 |    0.836
IQN-CVaR_0.90    |   2.7579 |   9.1391 |  18.8861 |  24.6751 | 132.3642 |    0.818
IQN-CVaR_0.95    |   2.7717 |   9.2593 |  19.0565 |  24.9473 | 157.5704 |    0.819
