v2-TAQ comparison (MSFT, seed 42, 10000 test eps)
Agent            |     Mean |      Std |   CVaR90 |   CVaR95 |      Max | cap-frac
----------------------------------------------------------------------------------
TWAP             |  -0.1935 |  21.2262 |  38.1120 |  46.6420 | 191.1838 |    0.000
AC               |  -0.1935 |  21.2258 |  38.1112 |  46.6410 | 191.1810 |    0.000
MaxSpeed         |   2.7748 |   9.0209 |  19.0722 |  23.4253 |  99.3902 |    1.000
DQN              |   1.5508 |  11.4947 |  22.5670 |  28.2595 | 145.8606 |    0.000
DDQN             |   2.7882 |   8.9467 |  19.0650 |  23.4108 |  92.1398 |    0.987
IQN-neutral      |   2.2189 |   9.6340 |  19.1125 |  23.5621 | 173.8482 |    0.000
IQN-CVaR_0.30    |   2.2017 |   9.7439 |  19.1865 |  23.8955 | 163.6924 |    0.000
IQN-CVaR_0.50    |   2.2183 |   9.6677 |  19.1490 |  23.6289 | 166.0836 |    0.000
IQN-CVaR_0.70    |   2.2229 |   9.6930 |  19.1722 |  23.7101 | 179.5431 |    0.000
IQN-CVaR_0.90    |   2.2146 |   9.6636 |  19.1134 |  23.6263 | 174.5368 |    0.000
IQN-CVaR_0.95    |   2.2098 |   9.5700 |  19.0131 |  23.3894 | 168.3035 |    0.000
