v2-TAQ comparison (GOOG, seed 7, 10000 test eps)
Agent            |     Mean |      Std |   CVaR90 |   CVaR95 |      Max | cap-frac
----------------------------------------------------------------------------------
TWAP             |   1.0451 |  80.9128 | 120.9976 | 134.9758 | 221.4224 |    0.000
AC               |   1.0451 |  80.9123 | 120.9966 | 134.9745 | 221.4205 |    0.000
MaxSpeed         |   0.2941 |  69.9559 | 114.6523 | 130.7685 | 187.5407 |    1.000
DQN              | -38.6461 |  53.5339 |  27.3502 |  38.6811 | 156.9040 |    0.207
DDQN             | -30.6486 |  45.1086 |  20.2089 |  26.6072 | 148.9572 |    0.001
IQN-neutral      | -33.0734 |  48.8593 |  22.0475 |  28.0997 | 118.9671 |    0.029
IQN-CVaR_0.30    | -30.9203 |  46.6931 |  22.4828 |  28.7350 | 102.2296 |    0.052
IQN-CVaR_0.50    | -31.0202 |  46.6590 |  22.2018 |  28.3362 | 102.2296 |    0.052
IQN-CVaR_0.70    | -31.2063 |  46.8016 |  22.1304 |  28.2587 | 101.3549 |    0.047
IQN-CVaR_0.90    | -32.0220 |  47.9181 |  22.1002 |  28.1903 | 117.8876 |    0.037
IQN-CVaR_0.95    | -32.4257 |  48.3300 |  22.0872 |  28.1266 | 117.8876 |    0.033
