v2-TAQ comparison (MSFT, seed 2024, 10000 test eps)
Agent            |     Mean |      Std |   CVaR90 |   CVaR95 |      Max | cap-frac
----------------------------------------------------------------------------------
TWAP             |  -0.3151 |  20.9369 |  36.6152 |  44.9459 | 191.1838 |    0.000
AC               |  -0.3150 |  20.9364 |  36.6144 |  44.9449 | 191.1810 |    0.000
MaxSpeed         |   2.6594 |   8.9575 |  18.4964 |  22.4729 |  99.3902 |    1.000
DQN              |   1.9132 |  11.0454 |  22.7808 |  28.2854 | 121.7245 |    0.000
DDQN             |   2.5824 |   9.0153 |  18.4835 |  22.4289 | 137.4399 |    0.332
IQN-neutral      |   2.5826 |   8.9199 |  18.0032 |  22.0670 | 149.7417 |    0.909
IQN-CVaR_0.30    |   2.6436 |   8.9797 |  18.3535 |  22.3332 | 153.5009 |    0.985
IQN-CVaR_0.50    |   2.6008 |   8.9207 |  18.0591 |  22.0244 | 147.7392 |    0.954
IQN-CVaR_0.70    |   2.5932 |   8.9144 |  18.0327 |  22.0552 | 146.6851 |    0.938
IQN-CVaR_0.90    |   2.5892 |   8.9345 |  18.0159 |  22.0729 | 151.4343 |    0.926
IQN-CVaR_0.95    |   2.5865 |   8.9211 |  17.9991 |  22.0542 | 148.1497 |    0.920
