v2-TAQ comparison (GOOG, seed 42, 10000 test eps)
Agent            |     Mean |      Std |   CVaR90 |   CVaR95 |      Max | cap-frac
----------------------------------------------------------------------------------
TWAP             |   1.9047 |  81.2717 | 122.4282 | 136.8308 | 221.4224 |    0.000
AC               |   1.9047 |  81.2711 | 122.4272 | 136.8295 | 221.4205 |    0.000
MaxSpeed         |   0.8749 |  69.9228 | 114.7544 | 130.6829 | 187.5407 |    1.000
DQN              | -38.3280 |  53.9377 |  26.4840 |  35.6444 | 144.1829 |    0.012
DDQN             | -33.3365 |  47.4296 |  21.1649 |  29.8632 | 162.4665 |    0.001
IQN-neutral      | -34.1240 |  48.0323 |  19.9372 |  27.2016 | 119.8761 |    0.435
IQN-CVaR_0.30    | -30.7753 |  45.3969 |  20.0878 |  27.3429 | 115.3619 |    0.509
IQN-CVaR_0.50    | -30.9034 |  45.4944 |  19.9285 |  27.0883 | 119.5943 |    0.506
IQN-CVaR_0.70    | -31.4151 |  45.8697 |  19.8166 |  26.8906 | 119.5943 |    0.495
IQN-CVaR_0.90    | -32.5499 |  46.7858 |  19.8111 |  26.9333 | 122.8792 |    0.485
IQN-CVaR_0.95    | -33.2000 |  47.2695 |  19.8636 |  27.0498 | 122.8792 |    0.468
