v2-TAQ comparison (AAPL, seed 42, 10000 test eps)
Agent            |     Mean |      Std |   CVaR90 |   CVaR95 |      Max | cap-frac
----------------------------------------------------------------------------------
TWAP             |   0.5513 |  24.2394 |  45.0325 |  58.5434 | 239.1494 |    0.000
AC               |   0.5513 |  24.2388 |  45.0315 |  58.5421 | 239.1454 |    0.000
MaxSpeed         |   1.4619 |  10.3477 |  20.0301 |  25.8481 | 209.4404 |    1.000
DQN              |   1.4057 |  11.8613 |  23.0255 |  30.1445 | 171.5901 |    0.519
DDQN             |   1.2944 |  10.7439 |  20.4026 |  26.8237 | 180.5357 |    0.193
IQN-neutral      |   1.4590 |  10.2836 |  19.9927 |  25.7736 | 203.2290 |    0.996
IQN-CVaR_0.30    |   1.4591 |  10.3052 |  20.0027 |  25.7934 | 204.6632 |    0.998
IQN-CVaR_0.50    |   1.4600 |  10.3356 |  20.0096 |  25.8072 | 222.5047 |    0.997
IQN-CVaR_0.70    |   1.4562 |  10.2640 |  19.9729 |  25.7342 | 203.2290 |    0.997
IQN-CVaR_0.90    |   1.4598 |  10.3193 |  20.0034 |  25.7949 | 211.0466 |    0.996
IQN-CVaR_0.95    |   1.4593 |  10.3071 |  20.0025 |  25.7930 | 222.5047 |    0.996
