v2-TAQ comparison (GOOG, seed 31, 10000 test eps)
Agent            |     Mean |      Std |   CVaR90 |   CVaR95 |      Max | cap-frac
----------------------------------------------------------------------------------
TWAP             |   1.7211 |  81.2335 | 120.6499 | 134.5278 | 221.4224 |    0.000
AC               |   1.7210 |  81.2329 | 120.6490 | 134.5265 | 221.4205 |    0.000
MaxSpeed         |   0.4714 |  70.0567 | 113.4536 | 128.9607 | 187.5407 |    1.000
DQN              | -37.0573 |  52.2386 |  25.1655 |  33.2579 | 127.1757 |    0.000
DDQN             | -31.7103 |  46.5769 |  20.8432 |  27.5557 | 127.6618 |    0.476
IQN-neutral      | -32.5200 |  47.6347 |  20.3747 |  26.3436 | 101.5326 |    0.638
IQN-CVaR_0.30    | -27.4626 |  43.7776 |  21.1376 |  27.2911 |  91.9975 |    0.740
IQN-CVaR_0.50    | -29.1337 |  45.0229 |  21.0294 |  27.1976 |  91.9975 |    0.718
IQN-CVaR_0.70    | -30.8236 |  46.4379 |  20.9654 |  26.9512 |  91.9975 |    0.695
IQN-CVaR_0.90    | -31.7363 |  47.0556 |  20.6729 |  26.5406 |  91.9975 |    0.674
IQN-CVaR_0.95    | -31.8727 |  47.1600 |  20.6205 |  26.5335 |  91.9975 |    0.665
