v2-TAQ comparison (MSFT, seed 123, 10000 test eps)
Agent            |     Mean |      Std |   CVaR90 |   CVaR95 |      Max | cap-frac
----------------------------------------------------------------------------------
TWAP             |  -0.4677 |  21.0741 |  37.4705 |  46.4468 | 191.1838 |    0.000
AC               |  -0.4677 |  21.0737 |  37.4697 |  46.4458 | 191.1810 |    0.000
MaxSpeed         |   2.6541 |   9.0262 |  18.5076 |  22.7025 |  99.3902 |    1.000
DQN              |   1.7377 |  11.5497 |  22.6620 |  28.3705 | 149.2309 |    0.148
DDQN             |   2.5785 |   9.1013 |  18.4008 |  22.7768 |  97.6507 |    0.866
IQN-neutral      |   2.5946 |   8.9881 |  18.3245 |  22.4337 | 115.4009 |    0.800
IQN-CVaR_0.30    |   2.5461 |   9.0120 |  18.3050 |  22.4581 | 129.2342 |    0.666
IQN-CVaR_0.50    |   2.5614 |   8.9935 |  18.2990 |  22.4455 | 120.0071 |    0.705
IQN-CVaR_0.70    |   2.5746 |   9.0010 |  18.3118 |  22.4480 | 123.4705 |    0.743
IQN-CVaR_0.90    |   2.5915 |   8.9892 |  18.3156 |  22.4323 | 115.4009 |    0.788
IQN-CVaR_0.95    |   2.5930 |   9.0021 |  18.3287 |  22.4510 | 120.3929 |    0.795
