# action_spread_heatmap: within-spread-bin action frequency
# n_episodes=500,seed=102023,n_steps=2000
action_fracs,0,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25
spread_bin_edges,9.9999997e-05,0.011787964,0.023475927,0.035163891,0.046851854,0.058539818,0.070227782,0.081915745,0.093603709,0.10529167,0.11697964
spread_bin,spread_lo,spread_hi,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10
0,9.9999997e-05,0.011787964,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1,0.011787964,0.023475927,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2,0.023475927,0.035163891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
3,0.035163891,0.046851854,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
4,0.046851854,0.058539818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
5,0.058539818,0.070227782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
6,0.070227782,0.081915745,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
7,0.081915745,0.093603709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8,0.093603709,0.10529167,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
9,0.10529167,0.11697964,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
