v2-TAQ comparison (AAPL, seed 7, 10000 test eps)
Agent            |     Mean |      Std |   CVaR90 |   CVaR95 |      Max | cap-frac
----------------------------------------------------------------------------------
TWAP             |   0.4919 |  24.3807 |  44.9665 |  58.6813 | 239.1494 |    0.000
AC               |   0.4919 |  24.3801 |  44.9655 |  58.6800 | 239.1454 |    0.000
MaxSpeed         |   1.4438 |  10.4591 |  19.9573 |  25.7978 | 209.4404 |    1.000
DQN              |   0.8019 |  17.4433 |  34.0007 |  44.3998 | 209.2293 |    0.000
DDQN             |   1.4014 |  10.6488 |  20.0243 |  26.0370 | 172.5509 |    0.612
IQN-neutral      |   1.4313 |  10.9444 |  20.1647 |  26.9751 | 188.9540 |    0.931
IQN-CVaR_0.30    |   1.4178 |  10.5740 |  19.8535 |  25.9788 | 161.7698 |    0.962
IQN-CVaR_0.50    |   1.4374 |  10.5528 |  19.8993 |  26.0510 | 161.2106 |    0.961
IQN-CVaR_0.70    |   1.4171 |  10.5324 |  19.7903 |  26.0027 | 170.6310 |    0.951
IQN-CVaR_0.90    |   1.4337 |  10.7544 |  20.0057 |  26.5784 | 164.6295 |    0.938
IQN-CVaR_0.95    |   1.4514 |  10.9571 |  20.2203 |  26.9916 | 181.4418 |    0.937
