v2-TAQ comparison (AAPL, seed 2024, 10000 test eps)
Agent            |     Mean |      Std |   CVaR90 |   CVaR95 |      Max | cap-frac
----------------------------------------------------------------------------------
TWAP             |   0.4378 |  23.7841 |  43.3207 |  56.1370 | 239.1494 |    0.000
AC               |   0.4378 |  23.7836 |  43.3197 |  56.1358 | 239.1454 |    0.000
MaxSpeed         |   1.4759 |  10.6174 |  20.4189 |  26.7409 | 209.4404 |    1.000
DQN              |   1.2036 |  12.1933 |  23.4269 |  30.6704 | 154.3472 |    0.000
DDQN             |   1.2411 |  11.0499 |  21.2374 |  27.7804 | 168.0124 |    0.000
IQN-neutral      |   1.2524 |  11.8754 |  21.1296 |  27.8957 | 188.8013 |    0.122
IQN-CVaR_0.30    |   1.3613 |  10.9095 |  20.7338 |  27.2768 | 179.7864 |    0.347
IQN-CVaR_0.50    |   1.3478 |  10.8201 |  20.6057 |  26.9660 | 165.0306 |    0.314
IQN-CVaR_0.70    |   1.3495 |  11.1182 |  20.6753 |  27.1055 | 219.4519 |    0.310
IQN-CVaR_0.90    |   1.2909 |  11.3378 |  20.5988 |  27.0827 | 201.3897 |    0.215
IQN-CVaR_0.95    |   1.2897 |  11.4767 |  20.7365 |  27.2478 | 198.5711 |    0.178
