# action_spread_heatmap: within-spread-bin action frequency
# n_episodes=500,seed=100041,n_steps=3736
action_fracs,0,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25
spread_bin_edges,9.9999997e-05,0.010551804,0.021003609,0.031455413,0.041907217,0.052359021,0.062810826,0.07326263,0.083714434,0.094166238,0.10461804
spread_bin,spread_lo,spread_hi,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10
0,9.9999997e-05,0.010551804,0.000000,0.421053,0.021053,0.000000,0.000000,0.000000,0.000000,0.000000,0.278947,0.000000,0.278947
1,0.010551804,0.021003609,0.000000,0.464594,0.017271,0.000000,0.000000,0.000000,0.000000,0.000000,0.251007,0.000000,0.267127
2,0.021003609,0.031455413,0.000000,0.443678,0.014559,0.000000,0.000000,0.000000,0.000000,0.000000,0.265900,0.000000,0.275862
3,0.031455413,0.041907217,0.000000,0.413043,0.014493,0.000000,0.000000,0.000000,0.000000,0.000000,0.268116,0.000000,0.304348
4,0.041907217,0.052359021,0.000000,0.481013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.177215,0.000000,0.341772
5,0.052359021,0.062810826,0.000000,0.377551,0.010204,0.000000,0.000000,0.000000,0.000000,0.000000,0.224490,0.000000,0.387755
6,0.062810826,0.07326263,0.000000,0.363636,0.012987,0.000000,0.000000,0.000000,0.000000,0.000000,0.194805,0.000000,0.428571
7,0.07326263,0.083714434,0.000000,0.288136,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.271186,0.000000,0.440678
8,0.083714434,0.094166238,0.000000,0.475000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.425000
9,0.094166238,0.10461804,0.000000,0.461538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.153846,0.000000,0.384615
