v2-TAQ comparison (GOOG, seed 123, 10000 test eps)
Agent            |     Mean |      Std |   CVaR90 |   CVaR95 |      Max | cap-frac
----------------------------------------------------------------------------------
TWAP             |   0.9138 |  81.3773 | 120.9909 | 134.6679 | 221.4224 |    0.000
AC               |   0.9138 |  81.3768 | 120.9900 | 134.6666 | 221.4205 |    0.000
MaxSpeed         |  -0.1130 |  69.8875 | 114.2060 | 130.1797 | 187.3689 |    1.000
DQN              | -42.5415 |  57.9711 |  30.3266 |  42.6594 | 146.2357 |    0.004
DDQN             | -28.7734 |  44.4789 |  19.9485 |  26.3671 | 150.1117 |    0.615
IQN-neutral      | -37.5987 |  50.6881 |  20.4404 |  27.3303 | 128.6413 |    0.285
IQN-CVaR_0.30    | -32.9888 |  46.4967 |  19.7656 |  26.3770 | 119.9965 |    0.318
IQN-CVaR_0.50    | -33.8690 |  47.2282 |  19.7902 |  26.4911 | 122.6361 |    0.320
IQN-CVaR_0.70    | -35.4032 |  48.7316 |  19.9234 |  26.6757 | 124.0846 |    0.327
IQN-CVaR_0.90    | -36.6644 |  49.8627 |  20.2010 |  27.0223 | 135.9791 |    0.304
IQN-CVaR_0.95    | -37.0468 |  50.2190 |  20.4117 |  27.3265 | 128.6413 |    0.293
