v2-Regime comparison (seed 7, cell σ_high=0.002 p01=0.05, 10000 eps)
Agent            |     Mean |      Std |   CVaR90 |   CVaR95 |      Max | cap-frac
----------------------------------------------------------------------------------
TWAP             |   1.6979 |   8.0303 |  13.6285 |  23.4790 | 101.3663 |    0.000
AC               |   1.6979 |   8.0294 |  13.6270 |  23.4763 | 101.3578 |    0.000
MaxSpeed         |   2.9777 |   3.2780 |   5.1147 |   7.0535 |  59.4209 |    1.000
DQN              |   2.9692 |   3.3590 |   5.1584 |   7.1374 |  59.4209 |    0.995
DDQN             |   3.0011 |   3.4589 |   5.7961 |   8.3709 |  72.9633 |    0.241
IQN-neutral      |   2.7155 |   3.0878 |   5.2066 |   7.5095 |  52.0622 |    0.000
IQN-CVaR_0.30    |   2.9079 |   9.2362 |  17.7010 |  28.6491 | 114.6733 |    0.000
IQN-CVaR_0.50    |   2.6508 |   4.0157 |   6.2053 |   9.4703 |  99.6724 |    0.000
IQN-CVaR_0.70    |   2.7143 |   3.1045 |   5.3064 |   7.7111 |  67.6097 |    0.000
IQN-CVaR_0.90    |   2.7088 |   3.0919 |   5.2719 |   7.6371 |  67.6097 |    0.000
IQN-CVaR_0.95    |   2.7166 |   3.1395 |   5.3633 |   7.8211 |  67.6097 |    0.000
