# action_spread_heatmap: within-spread-bin action frequency
# n_episodes=500,seed=100030,n_steps=3501
action_fracs,0,0.025,0.05,0.075,0.1,0.125,0.15,0.175,0.2,0.225,0.25
spread_bin_edges,9.9999997e-05,0.010681616,0.021263233,0.031844849,0.042426466,0.053008082,0.063589699,0.074171315,0.084752932,0.095334548,0.10591616
spread_bin,spread_lo,spread_hi,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10
0,9.9999997e-05,0.010681616,0.000000,0.271605,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.617284,0.000000
1,0.010681616,0.021263233,0.000000,0.276857,0.000000,0.158993,0.000000,0.000000,0.000000,0.000000,0.000000,0.564150,0.000000
2,0.021263233,0.031844849,0.000000,0.292779,0.000000,0.124804,0.000000,0.000000,0.000000,0.000000,0.000000,0.582418,0.000000
3,0.031844849,0.042426466,0.000000,0.336066,0.000000,0.131148,0.000000,0.000000,0.000000,0.000000,0.000000,0.532787,0.000000
4,0.042426466,0.053008082,0.000000,0.257576,0.000000,0.075758,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000
5,0.053008082,0.063589699,0.000000,0.350000,0.000000,0.125000,0.000000,0.000000,0.000000,0.000000,0.000000,0.525000,0.000000
6,0.063589699,0.074171315,0.011111,0.300000,0.000000,0.177778,0.000000,0.000000,0.000000,0.000000,0.000000,0.511111,0.000000
7,0.074171315,0.084752932,0.000000,0.266667,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.533333,0.000000
8,0.084752932,0.095334548,0.000000,0.285714,0.000000,0.238095,0.000000,0.000000,0.000000,0.000000,0.000000,0.476190,0.000000
9,0.095334548,0.10591616,0.000000,0.083333,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000
